trip_id,rider_id,distance_km,duration_min,fare_amount,ride_date,surge_flag,fare_z,distance_z,hour,day_of_week,month,payment_mode_Cash,payment_mode_Credit Card,payment_mode_UPI,payment_mode_Wallet,zone_Zone_1,zone_Zone_10,zone_Zone_2,zone_Zone_3,zone_Zone_4,zone_Zone_5,zone_Zone_6,zone_Zone_7,zone_Zone_8,zone_Zone_9,log_fare,log_distance,sqrt_duration,is_peak_hour,name,age,gender,city,signup_date,total_rides,cancelled_rides,avg_rating,gender_encoded,ride_frequency,ride_frequency_level,avg_ride_distance,avg_ride_fare,days_since_signup,zone_name,population_density,traffic_index,avg_speed_kmph,zone_type
T00011,R0191,13.88,88.3,172.04,9/9/2023,0,0.437887247,1.265807618,0,Saturday,September,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5.153522782,2.700018029,9.396807969,0,Meera Gupta,33,Other,Surat,8/14/2020,87,6,4.56,2,11,High,7.560909091,120.5927273,2218,Zone_10,2440,1.54,35.4,Industrial
T00012,R0199,11.4,64.9,139.35,12/15/2023,0,0.055550776,0.708478136,0,Friday,December,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4.944139303,2.517696473,8.056053624,0,Aarav Das,29,Male,Ahmedabad,8/3/2021,344,27,3.91,1,10,Medium,8.515,160.05,1864,Zone_1,4921,2.43,30.9,Residential
T00013,R0248,2.98,18.82,37.95,12/12/2023,0,-1.130405729,-1.183745346,0,Tuesday,December,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.662278772,1.381281819,4.338202393,0,Vivaan Ghosh,18,Female,Chennai,10/24/2021,104,12,3.65,0,7,Medium,8.245714286,134.2371429,1782,Zone_6,14627,0.54,37.6,Mixed
T00014,R0300,11.2,70.93,249.44,8/10/2024,1,1.343143987,0.66353221,0,Saturday,August,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.523219371,2.501435952,8.421995013,0,Saanvi Iyer,38,Female,Kolkata,7/8/2023,291,7,3.67,0,6,Medium,9.146666667,166.1283333,1160,Zone_2,6371,0.91,58.4,Residential
T00015,R0270,14.87,91.83,265.53,8/24/2023,0,1.531329788,1.488289951,0,Thursday,August,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5.585486808,2.764430535,9.582797086,0,Aadhya Reddy,35,Male,Hyderabad,1/2/2022,455,64,3.08,1,8,Medium,7.38,137.69125,1712,Zone_10,2440,1.54,35.4,Industrial
T00016,R0216,7.35,63.51,145.73,8/4/2024,0,0.13017013,-0.201676864,0,Sunday,August,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.988594163,2.122261539,7.969316156,0,Ishaan Ghosh,44,Female,Chennai,8/1/2019,335,24,3.4,0,5,Low,5.928,99.776,2597,Zone_2,6371,0.91,58.4,Residential
T00017,R0168,6.76,56.32,83.57,12/3/2023,0,-0.59684226,-0.334267346,0,Sunday,December,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.437579594,2.048982334,7.504665216,0,Diya Das,23,Male,Pune,10/8/2019,471,74,4.03,1,5,Low,7.004,113.862,2529,Zone_3,12971,2.11,38,Business
T00018,R0126,4.65,39.61,69.81,1/19/2024,0,-0.757776792,-0.808446865,0,Friday,January,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4.260000234,1.731655545,6.293647591,0,Diya Reddy,29,Female,Surat,9/25/2022,411,20,3.65,0,6,Medium,5.95,69.15333333,1446,Zone_6,14627,0.54,37.6,Mixed
T00019,R0255,7.93,62.56,100.85,5/26/2023,0,-0.39473843,-0.071333679,0,Friday,May,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.623501143,2.189416395,7.909487973,0,Reyansh Sharma,37,Female,Bengaluru,7/6/2021,475,42,3.12,0,8,Medium,9.0025,157.7775,1892,Zone_1,4921,2.43,30.9,Residential
T00020,R0061,11.43,81.48,227.77,6/19/2023,0,1.089695491,0.715220025,0,Monday,June,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5.432717132,2.520112906,9.026627277,0,Meera Reddy,25,Male,Mumbai,8/20/2020,168,25,3.69,1,4,Low,8.6175,149.185,2212,Zone_2,6371,0.91,58.4,Residential
T00021,R0289,3.91,32.07,79,8/15/2024,1,-0.650292174,-0.974746791,0,Thursday,August,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4.382026635,1.591273942,5.663038054,0,Aarav Gupta,21,Other,Chennai,9/30/2021,322,14,4.17,2,8,Medium,8.26625,154.31,1806,Zone_4,4038,2.46,48.2,Business
T00022,R0112,1.27,9.05,17.63,3/28/2024,0,-1.368064863,-1.568033013,0,Thursday,March,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2.924773185,0.819779831,3.008321791,0,Meera Nair,41,Female,Delhi,11/13/2020,311,11,3.24,0,10,Medium,8.953,115.027,2127,Zone_10,2440,1.54,35.4,Industrial
T00023,R0153,6.12,47.77,118.69,2/26/2024,0,-0.186084938,-0.478094309,0,Monday,February,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.784905067,1.962907725,6.911584478,0,Aadhya Ghosh,20,Male,Mumbai,5/4/2020,76,14,4.54,1,5,Low,5.768,92.19,2320,Zone_3,12971,2.11,38,Business
T00024,R0214,1.1,10.71,13.4,1/10/2023,0,-1.417538197,-1.60623705,0,Tuesday,January,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2.667228207,0.741937345,3.272613634,0,Aarav Kumar,20,Female,Kolkata,9/14/2022,210,2,4.53,0,6,Medium,6.793333333,113.615,1457,Zone_3,12971,2.11,38,Business
T00025,R0272,10.62,56.33,170.34,1/15/2023,0,0.418004347,0.533189025,0,Sunday,January,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5.143649887,2.452727751,7.505331438,0,Kavya Ghosh,21,Male,Kolkata,1/15/2020,432,4,4.79,1,7,Medium,5.755714286,98.82285714,2430,Zone_2,6371,0.91,58.4,Residential
T00026,R0045,5.87,48.76,86.71,2/14/2024,0,-0.560117374,-0.534276716,0,Wednesday,February,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.474035918,1.927164106,6.9828361,0,Saanvi Iyer,34,Other,Ahmedabad,7/12/2023,100,16,4.88,2,9,Medium,9.725555556,169.9833333,1156,Zone_3,12971,2.11,38,Business
T00027,R0096,0.78,5.31,10.51,1/12/2023,0,-1.451339127,-1.678150532,0,Thursday,January,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.443216223,0.576613364,2.304343724,0,Reyansh Das,40,Female,Kolkata,12/28/2019,121,3,4.46,0,5,Low,5.482,70.99,2448,Zone_9,11037,1.83,56.1,Mixed
T00028,R0191,6.26,58.43,134.46,5/14/2023,1,-0.001641801,-0.446632161,0,Sunday,May,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4.908676394,1.982379829,7.643951858,0,Meera Gupta,33,Other,Surat,8/14/2020,87,6,4.56,2,11,High,7.560909091,120.5927273,2218,Zone_1,4921,2.43,30.9,Residential
T00029,R0197,7.04,42.69,72.84,6/13/2024,0,-0.722338447,-0.27134305,0,Thursday,June,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4.30190059,2.084429083,6.53375849,0,Saanvi Das,29,Female,Bengaluru,10/8/2020,475,87,3.87,0,10,Medium,7.108,97.3,2163,Zone_6,14627,0.54,37.6,Mixed
T00030,R0284,10.25,88.43,216.17,3/15/2024,1,0.954023939,0.450039062,0,Friday,March,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.380680457,2.420368129,9.403722667,0,Vivaan Das,28,Female,Surat,7/31/2019,135,19,4.95,0,7,Medium,8.701428571,140.9042857,2598,Zone_1,4921,2.43,30.9,Residential
T00031,R0251,7.27,44.39,170.59,4/8/2023,1,0.420928303,-0.219655235,0,Saturday,April,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.14510791,2.112634509,6.662582082,0,Vivaan Iyer,46,Female,Mumbai,1/13/2020,213,26,4.48,0,5,Low,7.682,152.516,2432,Zone_1,4921,2.43,30.9,Residential
T00032,R0228,17.34,154.38,192.42,11/30/2023,0,0.67624813,2.043372137,0,Thursday,November,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.26486399,2.909084467,12.42497485,0,Kavya Ghosh,21,Female,Pune,5/18/2020,10,0,4.84,0,4,Low,9.61,168.805,2306,Zone_5,2590,1.31,43.9,Business
T00033,R0083,5.41,34.07,133.62,4/19/2024,1,-0.011466293,-0.637652346,0,Friday,April,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4.902455995,1.857859271,5.836951259,0,Kavya Patel,45,Female,Mumbai,12/31/2021,475,39,4.4,0,10,Medium,9.262,141.533,1714,Zone_10,2440,1.54,35.4,Industrial
T00034,R0105,7.69,72.38,65.12,6/21/2024,0,-0.812630204,-0.12526879,0,Friday,June,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4.191471273,2.162172939,8.507643622,0,Diya Das,31,Female,Jaipur,9/28/2020,346,9,3.69,0,12,High,7.933333333,108.4266667,2173,Zone_8,4516,1.93,31,Business
T00035,R0221,7.49,44.42,65.75,8/15/2023,0,-0.805261835,-0.170214716,0,Tuesday,August,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.200954297,2.138889,6.664833081,0,Diya Patel,21,Female,Delhi,1/13/2021,106,1,4.41,0,8,Medium,7.34125,114.16125,2066,Zone_4,4038,2.46,48.2,Business
T00036,R0081,6.59,49.9,125.55,7/29/2023,0,-0.105851589,-0.372471383,0,Saturday,July,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.840637487,2.026831591,7.063993205,0,Diya Reddy,42,Other,Mumbai,1/31/2022,114,2,3.9,2,6,Medium,8.82,135.345,1683,Zone_1,4921,2.43,30.9,Residential
T00037,R0067,8.71,57.85,106.26,6/7/2024,0,-0.331464024,0.103955432,0,Friday,June,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4.675255794,2.273156282,7.605918748,0,Saanvi Iyer,32,Male,Pune,7/24/2022,348,9,3.38,1,13,High,8.697692308,142.0623077,1509,Zone_10,2440,1.54,35.4,Industrial
T00038,R0026,10.71,65.12,172.96,10/27/2023,0,0.448647404,0.553414692,0,Friday,October,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.158825388,2.460443178,8.069696401,0,Aarav Kumar,26,Female,Surat,4/17/2020,44,5,3.17,0,9,Medium,8.81,108.1322222,2337,Zone_1,4921,2.43,30.9,Residential
T00039,R0077,14.7,144.74,322.96,3/7/2024,1,2.203020932,1.450085914,0,Thursday,March,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5.780620051,2.753660712,12.03079382,0,Reyansh Das,28,Male,Mumbai,9/7/2019,406,72,3.79,1,14,High,10.49,167.4157143,2560,Zone_5,2590,1.31,43.9,Business
T00040,R0110,0.15,1.26,3.27,8/15/2024,1,-1.559291578,-1.819730198,0,Thursday,August,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.451613827,0.139761942,1.122497216,0,Vivaan Patel,19,Female,Kolkata,2/4/2023,224,28,4.43,0,7,Medium,8.502857143,135.24,1314,Zone_9,11037,1.83,56.1,Mixed
T00041,R0056,5.45,34.13,108.87,2/24/2024,0,-0.300937925,-0.628663161,0,Saturday,February,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.699297849,1.864080131,5.842088668,0,Meera Patel,40,Other,Hyderabad,2/26/2021,93,13,3.25,2,9,Medium,7.357777778,103.0877778,2022,Zone_1,4921,2.43,30.9,Residential
T00042,R0120,5.76,45.5,57.73,2/25/2024,0,-0.89906234,-0.558996976,0,Sunday,February,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.07295067,1.91102289,6.745368782,0,Ishaan Gupta,18,Other,Surat,7/12/2020,311,15,4.55,2,8,Medium,8.525,126.74375,2251,Zone_4,4038,2.46,48.2,Business
T00043,R0178,12.69,71.08,174.11,8/7/2023,0,0.462097601,0.998379358,0,Monday,August,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.165414348,2.616665639,8.430895563,0,Saanvi Ghosh,27,Male,Delhi,5/15/2021,56,7,3.13,1,7,Medium,9.037142857,148.6485714,1944,Zone_2,6371,0.91,58.4,Residential
T00044,R0164,6.22,35.17,149.59,4/2/2024,1,0.175316009,-0.455621346,0,Tuesday,April,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5.014560912,1.976854953,5.930430001,0,Aadhya Ghosh,37,Other,Ahmedabad,7/6/2022,249,23,4.02,2,12,High,8.356666667,146.5408333,1527,Zone_3,12971,2.11,38,Business
T00045,R0221,1.48,7.57,22.98,7/11/2024,0,-1.305492207,-1.520839791,0,Thursday,July,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.17722015,0.90825856,2.751363298,0,Diya Patel,21,Female,Delhi,1/13/2021,106,1,4.41,0,8,Medium,7.34125,114.16125,2066,Zone_9,11037,1.83,56.1,Mixed
T00046,R0247,8.44,82.23,70.49,8/13/2023,0,-0.749823632,0.043278432,0,Sunday,August,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.26955758,2.24495598,9.068075871,0,Aadhya Das,37,Male,Bengaluru,5/11/2021,249,47,4.92,1,13,High,10.26769231,182.1107692,1948,Zone_2,6371,0.91,58.4,Residential
T00047,R0207,7.83,61.12,158.67,9/3/2023,1,0.281514086,-0.093806642,0,Sunday,September,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.073109185,2.178155015,7.817928114,0,Ishaan Iyer,31,Male,Mumbai,12/6/2023,47,3,3.93,1,8,Medium,7.93375,153.9325,1009,Zone_1,4921,2.43,30.9,Residential
T00048,R0077,8.9,76.5,91.12,8/3/2023,0,-0.508538793,0.146654062,0,Thursday,August,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4.523092075,2.292534757,8.746427842,0,Reyansh Das,28,Male,Mumbai,9/7/2019,406,72,3.79,1,14,High,10.49,167.4157143,2560,Zone_10,2440,1.54,35.4,Industrial
T00049,R0115,2.8,27.94,33.7,8/8/2024,0,-1.180112979,-1.22419668,0,Thursday,August,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.546739687,1.335001067,5.285830115,0,Aarav Ghosh,40,Female,Bengaluru,3/1/2020,170,15,4.4,0,11,High,7.589090909,129.6336364,2384,Zone_6,14627,0.54,37.6,Mixed
T00050,R0010,16.6,90.94,193.05,3/20/2023,0,0.683616499,1.877072211,0,Monday,March,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.268115858,2.867898902,9.536246641,0,Vivaan Gupta,25,Female,Surat,5/14/2023,173,1,3.38,0,9,Medium,9.472222222,133.8344444,1215,Zone_3,12971,2.11,38,Business
T00051,R0230,6.38,47.94,95.38,7/18/2023,0,-0.458714584,-0.419664605,0,Tuesday,July,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4.568298711,1.998773639,6.923871749,0,Kavya Gupta,32,Male,Chennai,11/22/2022,183,23,3.65,1,8,Medium,7.3325,113.5275,1388,Zone_3,12971,2.11,38,Business
T00052,R0032,7.06,36.36,101.01,5/24/2024,0,-0.392867098,-0.266848457,0,Friday,May,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4.625070848,2.086913557,6.029925373,0,Kavya Reddy,18,Female,Mumbai,9/20/2023,213,24,4,0,7,Medium,9.455714286,196.97,1086,Zone_1,4921,2.43,30.9,Residential
T00053,R0082,3.5,24.24,60.44,7/22/2024,0,-0.867366658,-1.066885939,0,Monday,July,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.118061089,1.504077397,4.92341345,0,Kavya Singh,26,Other,Pune,12/27/2022,274,23,3.15,2,3,Low,8.206666667,99.22,1353,Zone_3,12971,2.11,38,Business
T00054,R0228,3.34,32.09,80.26,1/13/2023,1,-0.635555436,-1.10284268,0,Friday,January,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4.397653891,1.467874348,5.664803615,0,Kavya Ghosh,21,Female,Pune,5/18/2020,10,0,4.84,0,4,Low,9.61,168.805,2306,Zone_7,11070,0.64,45.2,Industrial
T00055,R0266,1.89,14.21,45.33,1/23/2024,1,-1.044090552,-1.428700643,0,Tuesday,January,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.835789699,1.061256502,3.769615365,0,Diya Reddy,29,Other,Chennai,9/25/2020,98,13,3.9,2,9,Medium,8.107777778,138.6055556,2176,Zone_9,11037,1.83,56.1,Mixed
T00056,R0158,6.03,42.1,137.35,8/5/2023,1,0.032159129,-0.498319976,0,Saturday,August,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.929786706,1.950186706,6.488451279,0,Aarav Iyer,27,Male,Ahmedabad,7/26/2020,441,60,3.57,1,4,Low,6.365,96.2175,2237,Zone_3,12971,2.11,38,Business
T00057,R0154,3.21,21.26,61.28,1/5/2023,0,-0.857542166,-1.132057531,0,Thursday,January,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.131640347,1.437462648,4.610856753,0,Kavya Patel,18,Other,Kolkata,3/25/2019,466,79,4.68,2,13,High,10.66307692,158.4246154,2726,Zone_5,2590,1.31,43.9,Business
T00058,R0020,18.28,161.83,161.65,1/26/2024,0,0.31636764,2.254617989,0,Friday,January,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5.091600653,2.959068289,12.72124208,0,Diya Das,35,Female,Chennai,9/17/2019,274,21,4.03,0,7,Medium,7.692857143,106.58,2550,Zone_10,2440,1.54,35.4,Industrial
T00059,R0043,1.44,8.19,13.38,12/21/2023,0,-1.417772113,-1.529828976,0,Thursday,December,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2.665838352,0.891998039,2.861817604,0,Diya Kumar,28,Male,Ahmedabad,12/10/2021,85,16,4.68,1,9,Medium,7.462222222,95.83333333,1735,Zone_10,2440,1.54,35.4,Industrial
T00060,R0146,2.36,17.35,27.83,3/25/2024,0,-1.248767463,-1.323077717,0,Monday,March,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.361416512,1.211940974,4.16533312,0,Kavya Gupta,30,Male,Surat,4/15/2020,80,11,3.89,1,7,Medium,9.634285714,134.0671429,2339,Zone_4,4038,2.46,48.2,Business
T00061,R0235,5.99,44.78,54.34,2/15/2024,0,-0.938711182,-0.507309161,0,Thursday,February,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.013495974,1.944480556,6.69178601,0,Aarav Ghosh,34,Other,Delhi,2/15/2021,284,8,4.06,2,8,Medium,6.95625,105.7575,2033,Zone_8,4516,1.93,31,Business
T00062,R0292,11.37,99.93,252.52,4/4/2023,1,1.379167124,0.701736247,0,Tuesday,April,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5.535442715,2.515274186,9.996499387,0,Diya Patel,37,Female,Jaipur,6/28/2020,141,19,4.39,0,9,Medium,8.817777778,126.4322222,2265,Zone_3,12971,2.11,38,Business
T00063,R0143,5.93,33.28,124.07,7/9/2023,1,-0.123161408,-0.520792939,0,Sunday,July,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.828873581,1.935859813,5.768882041,0,Meera Kumar,42,Other,Kolkata,3/28/2023,74,13,4.56,2,8,Medium,6.13875,107.915,1262,Zone_7,11070,0.64,45.2,Industrial
T00064,R0243,11.38,101.38,252.89,2/10/2023,1,1.383494578,0.703983544,0,Friday,February,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5.536901102,2.516082267,10.06876358,0,Ishaan Patel,33,Male,Jaipur,2/6/2023,315,11,3.7,1,7,Medium,7.901428571,135.5042857,1312,Zone_7,11070,0.64,45.2,Industrial
T00065,R0215,3.07,22.86,73.11,4/15/2024,1,-0.719180574,-1.16351968,0,Monday,April,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4.305550476,1.403642999,4.781213235,0,Saanvi Gupta,26,Female,Hyderabad,2/28/2020,438,48,3.24,0,5,Low,3.63,74.42,2386,Zone_7,11070,0.64,45.2,Industrial
T00066,R0207,8.3,62.92,184.22,1/26/2023,1,0.580342377,0.011816284,0,Thursday,January,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5.221544308,2.2300144,7.932212806,0,Ishaan Iyer,31,Male,Mumbai,12/6/2023,47,3,3.93,1,8,Medium,7.93375,153.9325,1009,Zone_3,12971,2.11,38,Business
T00067,R0032,16.72,100.34,379.63,5/3/2024,1,3.039038397,1.904039766,0,Friday,May,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5.941827775,2.874693945,10.01698557,0,Kavya Reddy,18,Female,Mumbai,9/20/2023,213,24,4,0,7,Medium,9.455714286,196.97,1086,Zone_6,14627,0.54,37.6,Mixed
T00068,R0211,3.16,20.03,65.53,1/5/2023,1,-0.807834916,-1.143294013,0,Thursday,January,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4.197652974,1.425515074,4.4754888,0,Arjun Reddy,36,Female,Mumbai,4/4/2021,435,17,3.63,0,7,Medium,6.582857143,92.26857143,1985,Zone_6,14627,0.54,37.6,Mixed
T00069,R0077,10.1,58.97,178.77,2/3/2023,0,0.516600139,0.416329617,0,Friday,February,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5.191678256,2.406945108,7.679192666,0,Reyansh Das,28,Male,Mumbai,9/7/2019,406,72,3.79,1,14,High,10.49,167.4157143,2560,Zone_10,2440,1.54,35.4,Industrial
T00070,R0156,9.03,63.18,120.06,8/31/2023,0,-0.17006166,0.175868914,0,Thursday,August,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.79628629,2.305580602,7.94858478,0,Ishaan Iyer,33,Female,Jaipur,7/7/2022,255,18,4.28,0,3,Low,8.06,161.41,1526,Zone_9,11037,1.83,56.1,Mixed
T00071,R0232,3.26,29.24,56.16,3/1/2024,0,-0.917424783,-1.12082105,0,Friday,March,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4.045854353,1.44926916,5.407402334,0,Meera Das,38,Male,Jaipur,12/8/2022,172,15,3.94,1,13,High,7.169230769,114.68,1372,Zone_2,6371,0.91,58.4,Residential
T00072,R0263,5.06,48.17,44.44,7/21/2023,0,-1.054499834,-0.716307716,0,Friday,July,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.816392774,1.8017098,6.94046108,0,Ishaan Das,31,Other,Chennai,12/30/2020,297,21,3.84,2,12,High,8.718333333,128.9725,2080,Zone_9,11037,1.83,56.1,Mixed
T00073,R0025,13.66,115.24,116.48,2/23/2024,0,-0.211932708,1.216367099,0,Friday,February,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.766268106,2.685122696,10.73498952,0,Meera Das,21,Female,Mumbai,10/22/2021,42,3,4.01,0,5,Low,9.45,143.886,1784,Zone_9,11037,1.83,56.1,Mixed
T00074,R0048,8.68,58.17,87.92,10/9/2023,0,-0.545965428,0.097213543,0,Monday,October,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.487737089,2.270061901,7.626925986,0,Kavya Sharma,35,Male,Hyderabad,5/31/2019,207,1,3.02,1,5,Low,5.826,101.256,2659,Zone_7,11070,0.64,45.2,Industrial
T00075,R0008,1.94,14.17,31.82,1/4/2023,0,-1.202101127,-1.417464161,0,Wednesday,January,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.491038086,1.078409581,3.764306045,0,Ishaan Ghosh,28,Female,Jaipur,10/1/2022,215,23,4.02,0,8,Medium,6.03125,111.65875,1440,Zone_5,2590,1.31,43.9,Business
T00076,R0055,11.45,113.56,134.34,11/11/2023,0,-0.0030453,0.719714618,0,Saturday,November,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.907790131,2.521720623,10.65645344,0,Kavya Singh,32,Male,Delhi,11/7/2021,425,12,4.19,1,8,Medium,8.9625,138.695,1768,Zone_1,4921,2.43,30.9,Residential
