name,age,city,salary
Anay Shan,27.0,Delhi,
Chaitanya Bora,42.0,,59785.0
Azad Yadav,51.0,,
Warhi Padmanabhan,29.0,,95334.0
Michael Shah,23.0,,96190.0
,28.0,Mumbai,
Anusha Gupta,21.0,Mumbai,
Harini Hegde,26.0,,75075.0
Advika Kannan,58.0,Delhi,
,47.0,Delhi,
Yashica Devan,63.0,Mumbai,80673.0
Naveen Magar,,,30867.0
,22.0,,54169.0
Jagdish Bala,51.0,,82889.0
Gaurika Madan,57.0,Delhi,
Lucky Toor,41.0,Delhi,65619.0
,20.0,,
Triya Sahni,69.0,,
Jeet Grover,27.0,Delhi,82563.0
Urvashi Anne,55.0,,41631.0
,62.0,Mumbai,
Atharv Natt,,Mumbai,45932.0
Laksh Mody,29.0,,47173.0
Finn Pillay,52.0,Delhi,55857.0
Jonathan Hora,24.0,Mumbai,
Imaran Goswami,64.0,Delhi,90643.0
,51.0,Delhi,
Indrajit Wali,26.0,,29378.0
Qasim Pillai,25.0,Delhi,95790.0
Yutika Soni,59.0,Delhi,
Noah Balan,21.0,Mumbai,73819.0
Naksh Devi,64.0,Delhi,45270.0
Maya Dhar,31.0,,
Nikita Warrior,38.0,Delhi,72884.0
Aahana Dhar,23.0,,
Harrison Pall,28.0,Mumbai,21946.0
Umang Ahluwalia,46.0,Delhi,77345.0
Rachana Balan,,Delhi,37889.0
Nicholas Tata,20.0,Delhi,22557.0
,49.0,Mumbai,
Shaurya Loyal,39.0,Delhi,
,49.0,Mumbai,
Ronith Swaminathan,,Delhi,
Abdul Atwal,27.0,Mumbai,36321.0
Vihaan Varty,68.0,,85446.0
Deepa Sarkar,39.0,Mumbai,
Nakul Buch,29.0,Mumbai,53843.0
Triya Pathak,58.0,,69581.0
Balhaar Ghose,34.0,,
Pranit Borah,67.0,,
,58.0,Mumbai,30266.0
Ladli Sanghvi,56.0,Mumbai,68147.0
Noah Kunda,54.0,,89878.0
Yagnesh Dayal,56.0,Delhi,68760.0
Aishani Garg,24.0,Mumbai,63770.0
Bhavna Upadhyay,,Mumbai,
Sachi Mallick,,Mumbai,68986.0
,43.0,Delhi,39171.0
Bimala Kaul,57.0,Delhi,
Devansh Varty,24.0,Mumbai,50525.0
Aarini Das,23.0,Delhi,
Veer Chacko,49.0,Delhi,80824.0
Aahana Dass,,Mumbai,75201.0
Nathaniel Som,18.0,Delhi,
Vidhi Narasimhan,64.0,,
Adweta Date,,Mumbai,26959.0
Dayita Merchant,37.0,Mumbai,20148.0
Ekbal Brar,28.0,Delhi,
Chanchal Krishnan,37.0,Delhi,
Ishita Yohannan,47.0,Mumbai,
Anjali Prakash,66.0,,
Chaaya Chaudhary,19.0,,
Girish Gulati,64.0,Delhi,30276.0
Samar Purohit,,,
Adweta Konda,42.0,,22349.0
Dayamai Guha,47.0,,79142.0
Nicholas Deo,42.0,Mumbai,
Yahvi Din,18.0,,
Chaaya Sawhney,57.0,,87411.0
Watika Kaul,27.0,Delhi,
Fariq Chowdhury,62.0,,46334.0
Harish Wali,49.0,Mumbai,81355.0
Manan Thaman,,,
Deepa Issac,39.0,Mumbai,
Meera Varghese,59.0,Delhi,93095.0
,53.0,Delhi,81082.0
,23.0,,63435.0
Qasim Rama,33.0,Mumbai,92833.0
Yuvraj Sarraf,26.0,,
Chandran Dua,,Mumbai,21578.0
Harsh Kala,62.0,,29624.0
Ranveer Sachdev,33.0,Delhi,
Dalbir Bose,28.0,Delhi,78019.0
Divya Pant,44.0,Mumbai,78422.0
George Gulati,60.0,Mumbai,
Krishna Babu,56.0,,
Sai Chaudhry,23.0,,58025.0
Jeremiah Jani,36.0,,50943.0
Siddharth Salvi,29.0,Mumbai,
Yochana Balay,65.0,Mumbai,51186.0
Tarak Lall,26.0,Delhi,
Rohan Kapur,26.0,Delhi,97355.0
Zansi Madan,25.0,,
Eta Nagar,29.0,,
Samar Bala,,,
Pranit Bumb,22.0,Delhi,94802.0
Yashawini Nagi,62.0,,97889.0
George Hayre,61.0,Delhi,90940.0
Manthan Kala,69.0,,
Dayamai Nadig,,Mumbai,59125.0
Qasim Kata,33.0,Delhi,65840.0
Dayita Zachariah,,,29935.0
,,Delhi,
,66.0,,
Umang Sabharwal,53.0,,
Rudra Maharaj,28.0,Delhi,68518.0
Idika Bail,32.0,,30368.0
Ekavir Dugal,28.0,,81170.0
Abhimanyu Sani,38.0,Mumbai,54204.0
Brijesh Swaminathan,24.0,Mumbai,57699.0
Falak Hans,60.0,Delhi,36331.0
Nitara Gera,53.0,,
Gavin Sengupta,32.0,,42402.0
Wyatt Trivedi,,Mumbai,77090.0
Sara Purohit,62.0,,
Janani Raju,47.0,,
Vrinda Banerjee,59.0,Delhi,60998.0
Aarav Borah,41.0,Mumbai,68596.0
Hemal Sagar,29.0,Mumbai,80067.0
Xalak Kala,64.0,Delhi,
Nachiket Warrior,23.0,,
Darika Mangat,70.0,Delhi,
Tripti Bansal,43.0,Delhi,
Sarthak Kade,63.0,Mumbai,46071.0
Priya Lanka,55.0,,68066.0
Wishi Bhargava,38.0,Mumbai,
Neelima Bhavsar,21.0,Delhi,
Neelima Wali,41.0,Delhi,
Gaurika Borah,41.0,Delhi,70510.0
Udarsh Bawa,43.0,Delhi,
Ekiya Dewan,67.0,,
Omaja Samra,22.0,Mumbai,
Falan Keer,37.0,Mumbai,
Chanakya Dave,59.0,Delhi,71080.0
Warjas Sengupta,20.0,,
Warjas Nori,59.0,Mumbai,64148.0
Xavier Gala,67.0,Delhi,58883.0
Gabriel Ramaswamy,51.0,Mumbai,23375.0
Yamini Aggarwal,55.0,,56550.0
Farhan Bhattacharyya,,,85126.0
Darika Sood,70.0,Delhi,
Aachal Rajagopalan,53.0,Delhi,
Anirudh Borra,68.0,Mumbai,
Ijaya Goda,63.0,Delhi,
Hemani Pall,70.0,Mumbai,
Eta Nadig,,Mumbai,
Ekavir Dash,37.0,,
Faqid Venkataraman,69.0,Mumbai,44898.0
Urvi Chakrabarti,60.0,,
Vedika Doctor,36.0,Mumbai,
Zilmil Bhalla,66.0,,
Deepa Bir,52.0,Delhi,
Bhanumati Dixit,34.0,,62048.0
Unni Bassi,,Delhi,
Zaitra Sidhu,,Delhi,39499.0
,49.0,,
Lakshit Narain,45.0,,24564.0
Januja Balay,,Delhi,
Jatin Natt,39.0,,99854.0
Mohini Lata,54.0,Mumbai,
Parth Gandhi,,Mumbai,88857.0
Madhavi Srinivas,28.0,,83801.0
Elijah Lal,48.0,Mumbai,88668.0
Girindra Sahota,57.0,Mumbai,
Harini Bawa,41.0,Delhi,
Anamika Ramesh,22.0,Mumbai,
Alexander Cheema,33.0,,
Krishna Basu,66.0,Delhi,
Jack Naidu,48.0,Delhi,
Pratyush Sood,25.0,Delhi,42526.0
Theodore Ben,39.0,Delhi,79550.0
Xavier Talwar,50.0,Delhi,35435.0
Jalsa Palan,48.0,Delhi,
Joshua Nagy,53.0,,
Jeremiah Sarraf,43.0,Mumbai,65462.0
,44.0,Mumbai,65694.0
Rajeshri Bhatti,33.0,Mumbai,
Jeevika Comar,69.0,Delhi,55835.0
Vedhika Comar,47.0,,91265.0
Neha Sha,69.0,Delhi,
Bhavini Oza,20.0,,
Bhavika Naidu,45.0,Mumbai,64523.0
Ronith Bose,61.0,Mumbai,45820.0
Ijaya Chokshi,42.0,,50388.0
Aadi Grewal,28.0,Delhi,72077.0
William Mutti,56.0,Delhi,
Vanya Srivastava,37.0,Mumbai,
Niharika Koshy,48.0,,53093.0
Tara Goel,48.0,Mumbai,92207.0
Harrison Dhar,58.0,,23011.0
Robert Parmer,,,66446.0
Jason Puri,25.0,Delhi,
Vedant Chakraborty,20.0,Mumbai,26154.0
Qasim Yogi,37.0,Mumbai,
,43.0,,49156.0
Nitara Bose,18.0,Delhi,34901.0
Radhika Kurian,,Mumbai,79850.0
Saumya Rastogi,51.0,Mumbai,
Nitesh Kurian,,Mumbai,74615.0
Yauvani Tak,52.0,Mumbai,34425.0
Noah Grover,56.0,,57789.0
Garima Chauhan,65.0,Mumbai,
Ayaan Dara,20.0,Mumbai,27791.0
Xavier Kumar,27.0,,21906.0
Isaac Garde,66.0,Delhi,72157.0
Ranbir Butala,63.0,Mumbai,98505.0
Gaurav Chad,64.0,Mumbai,
Matthew Prashad,66.0,,
Krisha Iyer,52.0,Delhi,
Warinder Murty,,Mumbai,59804.0
Ucchal Parmar,,Delhi,
Nathan Mital,,Mumbai,42455.0
Siya Sem,29.0,Delhi,35852.0
Vasatika Chhabra,20.0,,46861.0
Januja Choudhry,23.0,Delhi,
Qushi Kuruvilla,57.0,,51166.0
Damini Gupta,27.0,Delhi,
Faras Ramanathan,46.0,Mumbai,
Eesha Amble,37.0,,
Nisha Sandhu,66.0,Delhi,
Divya Sama,22.0,Delhi,
Aadi Bail,25.0,Mumbai,30746.0
Yauvani Saraf,33.0,,
Sanya Sane,45.0,Delhi,74725.0
Bimala Magar,62.0,,
Rushil Bahl,40.0,,93589.0
Dhriti Tella,64.0,Mumbai,
Vasudha Nagar,61.0,Mumbai,85145.0
Xalak Sekhon,,Delhi,74438.0
Darika Borde,22.0,Delhi,46456.0
Balveer Sathe,36.0,,
Veer Oommen,,,72545.0
Yashvi Khalsa,69.0,Mumbai,83823.0
,50.0,,
Ekta Vala,52.0,Mumbai,81283.0
Jack Krishna,25.0,,64324.0
Ekta Peri,47.0,,83073.0
Tripti Srinivasan,57.0,,45768.0
Harsh Hayer,23.0,Delhi,
Hiral Khare,28.0,Mumbai,83281.0
Dominic Banerjee,19.0,Mumbai,
Shravya Ben,42.0,Mumbai,
Vrinda Chana,33.0,Mumbai,
Bachittar Morar,63.0,,
Chavvi Wable,67.0,Mumbai,27166.0
Neha Virk,52.0,Mumbai,
Manya Wali,,,86956.0
Garima Sodhi,32.0,Mumbai,
Garima Kulkarni,,Mumbai,44307.0
Kavya Varma,45.0,Delhi,
Chaitaly Bassi,26.0,Mumbai,
Ijaya Tata,18.0,Mumbai,
Girish Kurian,25.0,Mumbai,
Warhi Balasubramanian,45.0,,28823.0
Abha Srivastava,54.0,Mumbai,
,46.0,Mumbai,24095.0
Chaman Anand,56.0,Delhi,
George Sarna,66.0,Delhi,
Nitesh Mann,49.0,Mumbai,62126.0
Anya Sama,63.0,Mumbai,
Warda Aurora,59.0,Delhi,83625.0
Gaurangi Hari,43.0,,54094.0
Aachal Dalal,60.0,,68708.0
Hemang Dey,57.0,Mumbai,46965.0
Aarnav Maharaj,36.0,,35077.0
Ronith Gulati,70.0,Mumbai,24324.0
Nathan Oak,54.0,Delhi,66309.0
Hemangini Bava,45.0,,93970.0
Luke Venkatesh,,Delhi,
Alexander Kothari,53.0,Mumbai,82311.0
Falguni Rau,67.0,Mumbai,82424.0
Rudra Dugar,47.0,Delhi,23789.0
Daksha Modi,,Delhi,
Udyati Grover,43.0,,
Vedika Modi,29.0,,42872.0
Nidhi Barad,68.0,Delhi,47601.0
Joshua Wable,,Delhi,29721.0
Forum Chauhan,25.0,Delhi,
Frederick Balakrishnan,39.0,Mumbai,
Bakhshi Narula,20.0,Delhi,
Kashvi Sem,,Delhi,90853.0
Chandresh Tandon,70.0,,
Andrew Agarwal,32.0,,35376.0
Tanmayi Bora,26.0,,73031.0
Nidra Memon,39.0,Delhi,66811.0
Aarini Sodhi,35.0,Delhi,65373.0
Upadhriti Bhattacharyya,48.0,Delhi,
Nitara Chacko,60.0,Delhi,
Agastya Saraf,27.0,Delhi,
Finn Suresh,23.0,Delhi,77139.0
Rushil Varty,,Delhi,62542.0
Netra Bhargava,26.0,,
Baghyawati Mohanty,21.0,Delhi,
Pushti Walia,25.0,,
Indira Thakkar,64.0,Mumbai,
Yug Kadakia,39.0,,
Anita Pandit,,,
Owen Dalal,26.0,,
Benjamin Mani,27.0,Mumbai,42035.0
Leena Sharma,,,63173.0
Chaman Mohan,32.0,Delhi,
Kevin Sharaf,,,66951.0
Maanav Kala,70.0,Mumbai,
Jeevika Sarin,57.0,Delhi,
Xalak Iyengar,68.0,Delhi,40758.0
Januja Chokshi,34.0,,
Wriddhish Kadakia,18.0,Delhi,31812.0
Bhavini Balan,29.0,Delhi,61999.0
Maanav Ratta,52.0,,
Ojasvi Sridhar,46.0,Mumbai,
Veer Nadig,61.0,Delhi,
Aradhana Ben,43.0,Mumbai,
Rudra Kari,28.0,Mumbai,84092.0
Samuel Kala,51.0,Delhi,
Vaishnavi Pal,56.0,Mumbai,53288.0
Mahika Mistry,61.0,Delhi,
Neel Krishnan,67.0,,54135.0
Faras Contractor,53.0,Delhi,
,43.0,Delhi,55530.0
Veda Sarraf,33.0,,64412.0
Ladli Krish,28.0,Mumbai,
Ekiya Peri,,Delhi,
Gauri Pillai,32.0,Mumbai,42151.0
Orinder Sandhu,50.0,Mumbai,
Urvashi Doctor,70.0,,77788.0
Lakshmi Dora,62.0,Mumbai,93778.0
Gayathri Tak,61.0,Delhi,
Jacob Gulati,,Delhi,
Rachita Maharaj,45.0,Mumbai,54491.0
Krishna Pillay,,Delhi,
Lipika Srinivas,39.0,,72966.0
Aadi Bains,66.0,Delhi,
Vincent Tata,32.0,Mumbai,
Omaja Sharaf,21.0,Delhi,
,63.0,Delhi,
Vinaya Venkataraman,33.0,,81646.0
Farhan Grewal,27.0,Mumbai,87598.0
Janya Vyas,41.0,,49926.0
Veda Cheema,33.0,Mumbai,46463.0
Hemani Salvi,35.0,Mumbai,
Aarnav D’Alia,26.0,Delhi,
,25.0,Mumbai,99654.0
Yutika Bhalla,67.0,Mumbai,72975.0
,,,36602.0
Jeet Mand,55.0,Delhi,
Nilima Konda,29.0,,
Peter Kurian,30.0,Delhi,86243.0
Ekaja Dubey,18.0,,60652.0
,,,27191.0
Patrick Badal,59.0,Delhi,
Ubika Pingle,33.0,Delhi,
Ikbal Natt,61.0,Delhi,
Jeremiah Parmar,42.0,,20084.0
Chanchal Doshi,48.0,Mumbai,
Turvi Zacharia,69.0,Mumbai,53238.0
Amara Lanka,48.0,,
Viraj Singhal,19.0,,
Dipta Madan,29.0,Delhi,89377.0
Zansi Kannan,38.0,Delhi,62248.0
Yagnesh Bhakta,39.0,Delhi,47056.0
Amara Nigam,25.0,,44205.0
Jason Kalla,59.0,Delhi,
,42.0,Mumbai,66254.0
,68.0,Delhi,
Ayaan Lanka,22.0,Delhi,
Gaurika Gara,46.0,Delhi,25805.0
Baghyawati Tripathi,55.0,,37720.0
Chaitanya Rau,50.0,Mumbai,78371.0
Joshua Samra,18.0,Delhi,
Alexander Bahl,58.0,Delhi,45710.0
Vincent Ganesan,66.0,Mumbai,
Dalbir Sidhu,30.0,Delhi,57864.0
Widisha Acharya,23.0,Delhi,
Faraj Uppal,48.0,,
Dalbir Chand,22.0,,64465.0
Jack Ahluwalia,48.0,,
Ekaja Singh,,,
Tanish Ram,21.0,,
Vritti Agarwal,64.0,,79288.0
,,Mumbai,
Waida Dhingra,19.0,Delhi,76101.0
Gunbir Ghose,38.0,Mumbai,64112.0
,23.0,Mumbai,
Jackson Rastogi,35.0,Mumbai,
Arin Prashad,21.0,Mumbai,
Raghav Kalita,67.0,,
Wazir Bandi,52.0,Delhi,96029.0
Dayamai Nadig,37.0,,26727.0
,53.0,,68472.0
Amrita Mahal,31.0,Delhi,
Bhavika Shroff,26.0,,30253.0
Unnati Sridhar,39.0,Mumbai,44418.0
Wazir Mitra,37.0,Mumbai,
Fiyaz Varughese,26.0,,84230.0
Jalsa D’Alia,69.0,Delhi,27627.0
Vritti Sehgal,62.0,Mumbai,
Arunima Dhillon,35.0,,
Nakul Bedi,67.0,Mumbai,48074.0
Ridhi Warrior,39.0,Delhi,31279.0
Lajita Uppal,42.0,Mumbai,41633.0
Dakshesh Toor,66.0,Delhi,91791.0
Fitan Chaudhuri,29.0,Mumbai,91243.0
Ekbal Bhattacharyya,38.0,Mumbai,24120.0
Akshay Krishnan,58.0,Mumbai,
Elijah Bhatnagar,21.0,,
Avi Varghese,45.0,,
Jeet Dayal,46.0,,95828.0
Qarin Nayar,62.0,Mumbai,46561.0
Vidhi Sha,,Delhi,
Barkha Sur,,Delhi,
Abhimanyu Toor,35.0,,
Naveen Basak,,,
,,Mumbai,
Gaurav Dutta,51.0,Mumbai,
,59.0,Delhi,
Jyoti Kade,62.0,,95178.0
Vincent Chaudhari,64.0,Mumbai,59411.0
Aarush Pradhan,48.0,Mumbai,42825.0
Mohini Korpal,,Mumbai,
Thomas Raju,56.0,,92300.0
Tarak Chauhan,70.0,Mumbai,37943.0
Advay Deo,22.0,Delhi,77332.0
Vrinda Kurian,56.0,,
Ranbir Lala,41.0,Delhi,
Ira Parikh,,,
Abdul Dara,,Mumbai,
Udarsh Prasad,68.0,Mumbai,80775.0
Chanakya Madan,37.0,Delhi,30492.0
Ladli Chanda,63.0,Mumbai,
William Chaudhari,30.0,,79566.0
Lohit Ramaswamy,38.0,Mumbai,
Chakrika Bail,45.0,Mumbai,82136.0
,69.0,,72914.0
Hemal Bala,35.0,Mumbai,28670.0
Indali Bera,58.0,,75386.0
Pallavi Narasimhan,63.0,,77145.0
Ria Tata,48.0,Mumbai,
Manan Chaudhry,55.0,Mumbai,29296.0
Sara Sarkar,37.0,Mumbai,
Kiaan Krishnamurthy,52.0,Delhi,
Sachi Bhargava,59.0,,
Fiyaz Kakar,,,
Harrison Nadkarni,,Delhi,
Lila Nigam,65.0,Delhi,
Gaurika Mistry,22.0,Delhi,
Jairaj Mohanty,70.0,Mumbai,
Yatan Puri,61.0,,
Nidra Hari,24.0,,
Zehaan Tiwari,60.0,Mumbai,
Owen Tak,63.0,Delhi,44380.0
Idika Dhar,31.0,Delhi,
David Vala,33.0,Delhi,44519.0
Ojasvi Mutti,40.0,Delhi,94737.0
Yauvani Sachdeva,69.0,Delhi,61267.0
Aishani Rout,49.0,Mumbai,
Bakhshi Sharma,26.0,Delhi,
Vidhi Sem,30.0,Mumbai,68105.0
Manbir Baral,35.0,,40290.0
Bakhshi Kuruvilla,53.0,Mumbai,
Avi Varkey,49.0,Mumbai,
Ganga Zacharia,,Mumbai,99971.0
Jhalak Loke,38.0,Delhi,39163.0
Nimrat Virk,27.0,Delhi,51581.0
Avi Bahl,63.0,Delhi,
Widisha Som,33.0,,
Akshay Mishra,37.0,Mumbai,27090.0
Om Chowdhury,,,35476.0
Ekaraj Krishnamurthy,68.0,,82465.0
Gunbir Luthra,60.0,Mumbai,57632.0
Falguni Oak,41.0,Delhi,
Riya Mishra,45.0,Mumbai,76086.0
Theodore Gopal,29.0,Mumbai,20833.0
Dakshesh Pillai,47.0,Delhi,
Raksha Tripathi,58.0,,
Vansha Sachdeva,23.0,Delhi,98300.0
Zayyan Sami,31.0,Delhi,73942.0
Nitesh Jani,22.0,Delhi,48292.0
Bhavna Raman,56.0,Mumbai,45112.0
Timothy Sane,43.0,Delhi,
Jhalak Sinha,21.0,,
Mohini Puri,46.0,Mumbai,92845.0
Wazir Varghese,23.0,Delhi,73389.0
Lakshmi Vyas,56.0,Mumbai,96330.0
Dev Sampath,58.0,Mumbai,
Shivansh Dugal,39.0,Mumbai,46399.0
Yuvraj Patla,48.0,Mumbai,59287.0
Tanveer Naik,58.0,Delhi,99710.0
Anmol Bhatti,33.0,Mumbai,
Ekta Chana,,,46421.0
Finn Verma,43.0,Delhi,29759.0
Ekbal Parikh,65.0,Delhi,45020.0
Onkar Mitra,27.0,,
,49.0,,
,21.0,Delhi,
Pratyush Chacko,18.0,Mumbai,47685.0
,54.0,Mumbai,
Agastya Yohannan,,,46462.0
Charan Lall,22.0,Delhi,95790.0
Jalsa Madan,23.0,,84489.0
Ria Majumdar,42.0,,
Wahab Oak,62.0,Delhi,64592.0
Vamakshi Warrior,21.0,Mumbai,68179.0
Dalaja Walla,48.0,,
Janaki Ahluwalia,67.0,Delhi,24722.0
Yoshita Doctor,66.0,Mumbai,
Idika Soni,65.0,Delhi,52664.0
Ekta Chad,,,63407.0
Vivaan Mohan,56.0,Delhi,28710.0
Omya Mitter,40.0,Delhi,
Hredhaan Viswanathan,30.0,Mumbai,
Falak Sarraf,38.0,Delhi,
Fitan Gokhale,38.0,Mumbai,30669.0
Anita Raju,38.0,Mumbai,52945.0
Riya Chakrabarti,65.0,Delhi,85370.0
Vansha Bhasin,59.0,Delhi,
Kamala Rajagopal,28.0,Delhi,32891.0
Vyanjana Sethi,23.0,Mumbai,28032.0
Forum Bava,19.0,,59258.0
Zashil Soni,55.0,,91965.0
Shivani Palan,43.0,,45741.0
Damini Nigam,52.0,Mumbai,95929.0
Ucchal Prabhu,47.0,Mumbai,53389.0
Brinda Mitter,28.0,,
Upasna Bala,,Delhi,
Jairaj Varty,60.0,Mumbai,
Fariq Rastogi,70.0,,
Peter Ganesan,47.0,Mumbai,71218.0
Leena Mahal,,Delhi,91327.0
Eesha Golla,59.0,Delhi,
,57.0,Mumbai,
Pavani Dube,68.0,,78256.0
Eesha Konda,,Mumbai,
Wridesh Patla,26.0,Mumbai,
Caleb Thakur,54.0,Delhi,
Nimrat Ravel,59.0,Delhi,73006.0
Umang Sule,39.0,,55427.0
Advika Singh,43.0,Delhi,
Liam Gupta,65.0,,92541.0
Rachit Bora,26.0,,
Hemani Doctor,66.0,Mumbai,
Dhriti Misra,51.0,Delhi,54429.0
,,Mumbai,85917.0
Brinda Nagarajan,21.0,Mumbai,
Yashodhara Som,,Mumbai,98663.0
Teerth Sampath,23.0,Delhi,
Abha Kant,22.0,,
Madhavi Pandit,42.0,,97247.0
Gopal Thaman,54.0,Mumbai,76554.0
Damini Date,27.0,Delhi,
,23.0,Delhi,59669.0
,56.0,Delhi,
Samarth Batta,59.0,,73764.0
Dalaja Devan,60.0,Delhi,
Barkha Prakash,48.0,Mumbai,
Zansi Upadhyay,54.0,,62375.0
Advika Ramakrishnan,68.0,,46041.0
Aahana Sarraf,48.0,Mumbai,42547.0
Eshana Sastry,62.0,Delhi,92796.0
Nicholas Zachariah,64.0,,
Sai Varty,25.0,Mumbai,
,20.0,Mumbai,90224.0
Kabir Ranganathan,57.0,Delhi,
Nidra Nagar,70.0,,82176.0
Neelima Jain,39.0,Mumbai,67822.0
,40.0,,89397.0
Meghana Chandra,31.0,Mumbai,57053.0
Falguni Bose,51.0,,98486.0
Timothy Saraf,30.0,Mumbai,
Rachita Khare,32.0,Mumbai,32518.0
Lajita Nigam,44.0,Mumbai,
Leena Deshmukh,59.0,Delhi,69640.0
,18.0,,
Jack Mall,44.0,,23841.0
Yuvraj Sachdeva,41.0,,84801.0
Imaran Kumer,60.0,Mumbai,66266.0
Ria Prakash,68.0,Delhi,
Tanvi Patla,,,
Mekhala Devi,,,
Vinaya Chakrabarti,26.0,,
Manan Raghavan,22.0,Delhi,
Hema Varughese,,,
Jeet Dhaliwal,22.0,,
Nachiket Hegde,63.0,Mumbai,
,57.0,Mumbai,
Urvi Rao,,Delhi,
,31.0,,37916.0
Aashi Sandhu,68.0,Delhi,45558.0
Robert Chaudhari,64.0,Mumbai,32293.0
Chatresh Devan,60.0,Mumbai,
Ansh Barman,22.0,Delhi,45322.0
Wyatt Samra,70.0,Mumbai,24379.0
Qarin Lanka,41.0,,
Hiral Natarajan,27.0,Delhi,96496.0
Rajeshri Soman,63.0,,72447.0
Farhan Palla,,,22332.0
Yadavi Bhatia,68.0,Delhi,35647.0
Ishita Dhawan,63.0,Mumbai,99540.0
Nidhi Gole,52.0,,50090.0
Ayush Tank,39.0,Mumbai,
Janya Kari,35.0,,
Riya Batra,62.0,Delhi,
Henry Sarin,51.0,,
Manthan Dutta,67.0,Mumbai,
Anusha Aggarwal,32.0,Delhi,87549.0
Timothy Arora,67.0,Mumbai,94451.0
Sarthak Verma,41.0,,97947.0
Jagat Kata,50.0,,97597.0
Vihaan Kapur,22.0,Mumbai,84518.0
Madhav Mani,63.0,,64788.0
Baghyawati Gole,20.0,Mumbai,
Panini Bera,42.0,,26849.0
,61.0,Mumbai,
Chandresh Madan,50.0,Mumbai,92887.0
Abhimanyu Pandey,39.0,Delhi,
Alexander Chand,26.0,,98492.0
Fariq Atwal,56.0,Delhi,54926.0
